Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,ID,JP,,5,,live,,Z,C
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,MA,GY,,16,,live,,T,W
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,MA,GY,,,16,live,,Z,W
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,MD,RU,,3,3,live,,Z,C
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,RU,GY,,,45,live,,T,W
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,US,DE,FR,174,,specimens,Number of specimens,M,C
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,US,DE,,8,,specimens,Number of specimens,M,C
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,US,DE,,,182,specimens,,M,C
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,US,GY,,34,,live,Number of specimens,T,W
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,US,GY,,63,,live,Number of specimens,Z,W
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,US,GY,,,34,live,,T,W
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,US,GY,,,63,live,,Z,W
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,US,ZA,,2,,skulls,Number of specimens,T,C
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,US,ZA,,,2,skulls,,T,C
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,US,ZA,,3,,trophies,Number of specimens,T,C
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,US,ZA,,,3,trophies,,T,C
2020,II,Allochrocebus lhoesti,Mammalia,Primates,Cercopithecidae,Allochrocebus,CD,ZW,,2,,live,,L,I
2020,II,Cercocebus atys,Mammalia,Primates,Cercopithecidae,Cercocebus,DE,CI,,,1,skulls,Number of specimens,S,W
2020,II,Cercocebus atys,Mammalia,Primates,Cercopithecidae,Cercocebus,DE,CI,,1,,skulls,,S,W
2020,II,Cercocebus atys,Mammalia,Primates,Cercopithecidae,Cercocebus,DE,CI,,,2,specimens,Number of specimens,S,W
2020,II,Cercocebus atys,Mammalia,Primates,Cercopithecidae,Cercocebus,DE,CI,,2,,specimens,,S,W
2020,II,Cercocebus chrysogaster,Mammalia,Primates,Cercopithecidae,Cercocebus,CD,ZW,,11,,live,,L,I
2020,II,Cercocebus chrysogaster,Mammalia,Primates,Cercopithecidae,Cercocebus,KZ,UZ,XX,,6,live,,Z,W
2020,II,Cercocebus torquatus,Mammalia,Primates,Cercopithecidae,Cercocebus,DE,GA,,,73,specimens,Number of specimens,S,W
2020,II,Cercocebus torquatus,Mammalia,Primates,Cercopithecidae,Cercocebus,DE,GA,,41,,specimens,,S,W
2020,II,Cercocebus torquatus,Mammalia,Primates,Cercopithecidae,Cercocebus,SG,IE,ES,2,,live,Number of specimens,Z,C
2020,II,Cercocebus torquatus,Mammalia,Primates,Cercopithecidae,Cercocebus,SG,IE,ES,,2,live,,Z,C
2020,II,Cercocebus torquatus,Mammalia,Primates,Cercopithecidae,Cercocebus,UA,PL,,,1,live,,Z,C
2020,II,Cercopithecidae spp.,Mammalia,Primates,Cercopithecidae,,US,ID,XX,2,,skulls,Number of specimens,T,I
2020,II,Cercopithecus spp.,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,JP,,30,,specimens,Number of specimens,M,O
2020,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,ZA,UG,,,2,live,,Z,C
2020,II,Cercopithecus hamlyni,Mammalia,Primates,Cercopithecidae,Cercopithecus,TG,CD,,,9,live,,T,W
